Title,Author,ISBN,Circulation,Library,Branch,Code,Variable,Total_2010,Total_2011,Total_2013,Total_2012,Total_2015,Total_2014,Total_2017,Total_2016,year,value
Dunkirk,NA,883929570713,111,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,104,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,93,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,89,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,86,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,82,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield listens to his gut : his 62nd book,"Davis, Jim, 1945 July 28- author, illustrator.",9780425285572,80,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,80,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,79,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,79,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,77,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People 2018.,NA,NA,74,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,71,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield cooks up trouble,"Davis, Jim, 1945 July 28- author, illustrator.",9780425285626,70,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,69,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,68,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ready player one,NA,883929621422,68,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,65,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,63,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean's 8,NA,883929623099,62,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Times Magazine 2018.,NA,NA,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red sparrow,NA,024543418009,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,60,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Pups save the bunnies,NA,110193168X,59,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paw patrol on the roll!,NA,1101938676,57,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Battle of the sexes,NA,024543330370,56,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,56,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Yorker 2018.,NA,NA,55,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,55,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield thinks big,"Davis, Jim, 1945 July 28- author, artist.",9780425285169,54,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
We love friendship day!,"Stokes, Michael E., author of teleplay.",9780399558771,54,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I, Tonya",NA,9786317175082,54,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garfield dishes it out : his 27th book,"Davis, Jim, 1945 July 28-",9780345525956,53,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garfield, tons of fun","Davis, Jim, 1945 July 28-",0345526015,53,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pup-fu power!,NA,0399555951,52,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ant-man and The Wasp,NA,786936858969,51,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me 3,NA,025192367663,50,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paddington. 2,NA,883929632398,50,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonder Woman / directed by Patty Jenkins ; screenplay by Allan Heinberg ; produced by Charles Roven ; produced by Deborah Snyder, Zack Snyder ; produced by Richard Suckle ; a Warner Bros. Pictures presentation ; in association with Rat-Pac Dune Entertainment, Tencent Pictures and Wanda Pictures ; an Atlas Entertainment",NA,883929552979,49,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diary of a wimpy kid : the getaway,"Kinney, Jeff, author, illustrator.",9781419725456,49,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Times Book Review 2018.,NA,NA,49,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isle of dogs,NA,024543460176,49,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diary of a wimpy kid : old school,"Kinney, Jeff.",9781419717017,48,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A gentleman in Moscow,"Towles, Amor, author.",9780670026197,48,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annihilation / writer,NA,032429305381,48,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The last straw,"Kinney, Jeff.",9780810970687,47,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martha Stewart Living 2018.,NA,NA,47,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The ugly truth,"Kinney, Jeff.",9780810984912,46,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pups to the rescue!,NA,0385384440,46,St. Anthony Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,121,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunkirk,NA,883929570713,110,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,106,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,104,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Yorker 2018.,NA,NA,94,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,94,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,94,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,90,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A quiet place,NA,032429308818,89,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,87,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,86,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,81,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,80,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
It / New Line Cinema presents ; in association with RatPac-Dune Entertainment ; a Vertigo Entertainment,NA,883929571499,78,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People 2018.,NA,NA,74,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,74,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American made,NA,025192316180,73,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean's 8,NA,883929623099,73,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,72,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,71,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,70,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,68,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,66,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadpool 2 / a Twentieth Century Fox presentation in association with Marvel Entertainment ; a Kinberg Genre,NA,024543461470,66,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurassic world. Fallen kingdom,NA,191329002469,66,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 strong,NA,883929601547,65,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rampage / New Line Cinema presents in association with ASAP Entertainment ; a Wrigley Pictures/F.P.C.,NA,883929622771,63,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roman J. Israel, Esq. / Columbia Pictures presents ; in association with Marco Media [and others] ; a Jennifer Fox",NA,043396521278,62,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The foreigner,NA,025192377488,61,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,61,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ready player one,NA,883929621422,61,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The commuter,NA,031398285373,60,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,60,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American assassin,NA,031398274827,59,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Economist 2018.,NA,NA,59,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phantom thread,NA,191329052952,59,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Death wish,NA,883904361145,58,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomb raider,NA,883929620890,58,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I, Tonya",NA,9786317175082,57,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den of thieves / STX Films and Diamond Film Productions present a Diamond Film Productions/Tucker Tooley Entertainment/a Mark Canton production,NA,191329021019,57,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific Rim. Uprising / directed by Steven S. DeKnight ; written by Steven S. DeKnight & Emily Carmichael & Kira Snyder and T.S. Nowlin ; produced by Mary Parent, Cale Boyter, Gullermo Del Toro, John Boyega, Femi Oguns, Thomas Tull, Jon Jashni ; Legendary Pictures and Universal Pictures present ; a Legendary Pictures",NA,191329028933,57,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit,NA,9786317026353,56,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spider-Man: homecoming / Columbia Pictures presents ; a Marvel Studios,NA,043396488571,55,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me 3,NA,025192367663,55,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Times Book Review 2018.,NA,NA,55,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entertainment Weekly 2018.,NA,NA,54,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atomic Blonde,NA,9786317017986,53,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Times Magazine 2018.,NA,NA,53,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daddy's home 2,NA,032429301482,53,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ant-man and The Wasp,NA,786936858969,53,Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,62,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,58,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,56,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,55,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,53,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,53,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,50,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferdinand,NA,024543277323,47,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunkirk,NA,883929570713,45,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,45,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me 3,NA,025192367663,43,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paddington. 2,NA,883929632398,43,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sing,NA,025192366550,42,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,42,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,41,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,41,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,40,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
All the money in the world,NA,043396527829,40,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molly's game,NA,191329010129,40,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A quiet place,NA,032429308818,40,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadpool 2 / a Twentieth Century Fox presentation in association with Marvel Entertainment ; a Kinberg Genre,NA,024543461470,40,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
It / New Line Cinema presents ; in association with RatPac-Dune Entertainment ; a Vertigo Entertainment,NA,883929571499,39,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,39,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Downsizing,NA,032429304063,38,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,38,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,37,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,36,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Star,NA,043396501027,36,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Game night / directed by John Francis Daley & Jonathan Goldstein ; written by Mark Perez ; produced by John Davis, John Fox, Jason Bateman, James Garavente ; a New Line Cinema presentation ; a Davis Entertainment",NA,883929620623,36,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peter Rabbit,NA,043396513501,36,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annihilation / writer,NA,032429305381,36,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurassic world. Fallen kingdom,NA,191329002469,35,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American made,NA,025192316180,34,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,34,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den of thieves / STX Films and Diamond Film Productions present a Diamond Film Productions/Tucker Tooley Entertainment/a Mark Canton production,NA,191329021019,34,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean's 8,NA,883929623099,34,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proud Mary,NA,043396509320,33,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ant-man and The Wasp,NA,786936858969,33,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A bad mom's Christmas,NA,191329021064,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I, Tonya",NA,9786317175082,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitch perfect 3,NA,025192371752,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The commuter,NA,031398285373,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red sparrow,NA,024543418009,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isle of dogs,NA,024543460176,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sicario : day of the soldado,NA,043396526785,31,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kingsman: the golden circle,NA,024543328780,30,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The foreigner,NA,025192377488,30,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 strong,NA,883929601547,30,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me [videorecording],NA,025192018176,29,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomb raider,NA,883929620890,29,Riverview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunkirk,NA,883929570713,245,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three billboards outside Ebbing, Missouri",NA,024543416319,243,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The greatest showman,NA,024543327912,209,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Panther,NA,9786317233195,204,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lady Bird,NA,031398277460,197,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People 2018.,NA,NA,192,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The shape of water,NA,024543417675,191,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Post,NA,024543470854,189,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jumanji. Welcome to the jungle / Columbia Pictures presents ; a Matt Tolmach,NA,043396488526,182,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darkest hour,NA,025192396717,174,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coco,NA,786936856255,170,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonder,NA,031398259282,167,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blade runner 2049,NA,883929571888,164,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Murder on the Orient Express,NA,024543393979,164,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Yorker 2018.,NA,NA,161,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avengers: infinity war,NA,786936856910,149,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molly's game,NA,191329010129,146,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A quiet place,NA,032429308818,143,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I, Tonya",NA,9786317175082,142,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star wars, the last jedi.",NA,786936856996,142,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A wrinkle in time,NA,786936856392,140,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solo : a Star Wars story,NA,786936859133,139,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red sparrow,NA,024543418009,137,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ready player one,NA,883929621422,135,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Times Magazine 2018.,NA,NA,133,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thor. Ragnarok,NA,786936855906,133,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isle of dogs,NA,024543460176,133,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American made,NA,025192316180,130,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The great alone,"Hannah, Kristin, author.",9780312577230,127,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wonder Woman / directed by Patty Jenkins ; screenplay by Allan Heinberg ; produced by Charles Roven ; produced by Deborah Snyder, Zack Snyder ; produced by Richard Suckle ; a Warner Bros. Pictures presentation ; in association with Rat-Pac Dune Entertainment, Tencent Pictures and Wanda Pictures ; an Atlas Entertainment",NA,883929552979,126,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kingsman: the golden circle,NA,024543328780,123,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spider-Man: homecoming / Columbia Pictures presents ; a Marvel Studios,NA,043396488571,122,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little fires everywhere,"Ng, Celeste, author.",9780735224292,121,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deep freeze,"Sandford, John, 1944 February 23-",9780399176067,120,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Downsizing,NA,032429304063,117,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Despicable me 3,NA,025192367663,115,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Game of thrones. Season 7.,NA,883929598564,114,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice League,NA,883929572045,114,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Call me by your name,NA,043396523821,114,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomb raider,NA,883929620890,113,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
It / New Line Cinema presents ; in association with RatPac-Dune Entertainment ; a Vertigo Entertainment,NA,883929571499,111,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annihilation / writer,NA,032429305381,111,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadpool 2 / a Twentieth Century Fox presentation in association with Marvel Entertainment ; a Kinberg Genre,NA,024543461470,110,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshall,NA,191329035979,109,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phantom thread,NA,191329052952,109,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The woman in the window,"Finn, A. J., author.",9780062678416,107,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Game night / directed by John Francis Daley & Jonathan Goldstein ; written by Mark Perez ; produced by John Davis, John Fox, Jason Bateman, James Garavente ; a New Line Cinema presentation ; a Davis Entertainment",NA,883929620623,107,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurassic world. Fallen kingdom,NA,191329002469,106,Highland Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
