variable,year,total
items loaned,2012,2866183
library agencies,2012,14
hours open weekly system wide,2012,659
full time equiv staff,2012,162.1
public computers,2012,443
computer users,2012,360280
in person visits,2012,2320163
web site visits,2012,1555409
mobile app visits,2012,885583
total visits,2012,4761155
children and teen programs,2012,3908
attendance at children and teen programs,2012,NA
total wireless sessions,2012,NA
card holders,2012,321033
active card holders,2012,91508
homework center visits,2012,17033
summer reading program readers,2012,4345
summer reading attendance,2012,13699
adult programs,2012,2938
attendance at adult programs,2012,33066
information inquiries to staff,2012,435719
items in our collection,2013,1026400
items loaned,2013,2840868
library agencies,2013,14
hours open weekly system wide,2013,659
full time equiv staff,2013,164.7
public computers,2013,445
computer users,2013,319629
in person visits,2013,2111479
web site visits,2013,1581393
mobile app visits,2013,1227410
total visits,2013,4920282
children and teen programs,2013,4248
attendance at children and teen programs,2013,NA
total wireless sessions,2013,412034
card holders,2013,342844
active card holders,2013,85752
homework center visits,2013,15518
summer reading program readers,2013,4066
summer reading attendance,2013,11123
adult programs,2013,2252
attendance at adult programs,2013,24230
information inquiries to staff,2013,387677
items in our collection,2014,1092174
items loaned,2014,2608100
library agencies,2014,14
hours open weekly system wide,2014,674
full time equiv staff,2014,166
public computers,2014,490
computer users,2014,272384
in person visits,2014,1951938
web site visits,2014,1457775
mobile app visits,2014,1595936
total visits,2014,5005649
children and teen programs,2014,4646
attendance at children and teen programs,2014,NA
total wireless sessions,2014,NA
card holders,2014,290358
active card holders,2014,76324
homework center visits,2014,14014
summer reading program readers,2014,3790
summer reading attendance,2014,12810
adult programs,2014,2354
attendance at adult programs,2014,27482
information inquiries to staff,2014,381647
items in our collection,2015,1129516
items loaned,2015,2976976
library agencies,2015,14
hours open weekly system wide,2015,712
full time equiv staff,2015,175.1
public computers,2015,552
computer users,2015,284785
in person visits,2015,2160591
web site visits,2015,1481974
mobile app visits,2015,2046288
total visits,2015,5688853
children and teen programs,2015,4701
attendance at children and teen programs,2015,NA
total wireless sessions,2015,1491054
card holders,2015,312570
active card holders,2015,79624
homework center visits,2015,15113
summer reading program readers,2015,4168
summer reading attendance,2015,11293
adult programs,2015,2327
attendance at adult programs,2015,27086
information inquiries to staff,2015,346193
items in our collection,2016,1138783
items loaned,2016,2825326
library agencies,2016,14
hours open weekly system wide,2016,712
full time equiv staff,2016,174.5
public computers,2016,567
computer users,2016,312360
in person visits,2016,2226416
web site visits,2016,1379835
mobile app visits,2016,1895481
total visits,2016,5501732
children and teen programs,2016,5337
attendance at children and teen programs,2016,NA
total wireless sessions,2016,1553976
card holders,2016,360047
active card holders,2016,76326
homework center visits,2016,16686
summer reading program readers,2016,4112
summer reading attendance,2016,8155
adult programs,2016,2345
attendance at adult programs,2016,31163
information inquiries to staff,2016,301013
items in our collection,2017,1152064
items loaned,2017,2440606
library agencies,2017,14
hours open weekly system wide,2017,712
full time equiv staff,2017,175.9
public computers,2017,NA
computer users,2017,298033
in person visits,2017,2035660
web site visits,2017,1253659
mobile app visits,2017,1844500
total visits,2017,5133819
children and teen programs,2017,4832
attendance at children and teen programs,2017,NA
total wireless sessions,2017,251621
card holders,2017,348178
active card holders,2017,73632
homework center visits,2017,NA
summer reading program readers,2017,3567
summer reading attendance,2017,6703
adult programs,2017,2185
attendance at adult programs,2017,27623
information inquiries to staff,2017,290751
